420,-124,0,272,43B023
416,-158,38,254,0DFCF0
406,-189,76,232,43B023
389,-218,112,206,FFCC00
365,-242,147,176,57FC26
336,-263,179,143,FC2519
301,-279,208,109,57FC26
261,-291,234,72,FC2519
217,-297,256,34,0DFCF0
170,-299,274,-3,43B023
119,-297,287,-42,FFCC00
67,-289,296,-79,57FC26
13,-276,299,-116,FFCC00
-40,-259,298,-150,57FC26
-93,-238,292,-182,FC2519
-145,-212,281,-211,0DFCF0
-194,-184,265,-236,43B023
-240,-152,246,-258,0DFCF0
-282,-118,222,-275,43B023
-319,-81,194,-288,FFCC00
-351,-44,163,-296,57FC26
-378,-5,130,-299,FC2519
-398,32,94,-298,0DFCF0
-412,70,57,-291,FC2519
-419,107,19,-280,0DFCF0
-419,142,-19,-264,43B023
-412,174,-57,-243,FFCC00
-398,204,-94,-219,57FC26
-378,230,-130,-191,FC2519
-351,253,-163,-160,57FC26
-319,271,-194,-126,FC2519
-282,285,-222,-90,0DFCF0
-240,295,-246,-53,43B023
-194,299,-265,-15,FFCC00
-145,299,-281,22,43B023
-93,293,-292,61,FFCC00
-40,283,-298,98,57FC26
13,268,-299,133,FC2519
67,249,-296,166,0DFCF0
119,225,-287,197,43B023
170,198,-274,224,0DFCF0
217,168,-256,248,43B023
261,135,-234,267,FFCC00
301,100,-208,282,57FC26
336,63,-179,293,FC2519
365,25,-147,298,0DFCF0
389,-13,-112,299,FC2519
406,-51,-76,295,0DFCF0
416,-88,-38,286,43B023
420,-124,0,272,FFCC00
